factor,horizon,quintile,sample_count,avg_forward_return,median_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
new_low_high_ratio,10,2,429,0.006303714292603905,0.006211857198695991,0.6107226107226107,0.01596783629726496,0.20046620046620048
new_low_high_ratio,10,3,397,0.003069394539476976,0.004082293994699837,0.5617128463476071,0.02727932151837305,0.3047858942065491
new_low_high_ratio,20,1,1248,0.015191455306750513,0.019313166847307328,0.6610576923076923,0.021140696729277604,0.2948717948717949
new_low_high_ratio,20,2,423,0.006137058595317371,0.007770113040564297,0.5981087470449172,0.02694904273187663,0.3475177304964539
new_low_high_ratio,20,3,397,0.012623121411612289,0.018293264404160237,0.6246851385390428,0.03845788457630823,0.3979848866498741
realized_volatility_20d,1,1,414,0.0002308638137699997,0.0012366249102987448,0.5797101449275363,0.002422340829367501,0.004830917874396135
realized_volatility_20d,1,2,413,9.434793766040076e-05,0.0005919886187448764,0.5278450363196125,0.0026574027589342307,0.002421307506053269
realized_volatility_20d,1,3,413,0.0011671258459250672,0.0016149870046204828,0.5956416464891041,0.0024267669788423955,0.002421307506053269
realized_volatility_20d,1,4,413,0.00045316503963107707,0.0016917733726060646,0.5883777239709443,0.0035349396592907747,0.014527845036319613
realized_volatility_20d,1,5,414,0.001238171011627481,0.002093553182153207,0.5869565217391305,0.004309270271785513,0.016908212560386472
realized_volatility_20d,5,1,413,0.0030018653130107673,0.003464740705694025,0.5932203389830508,0.008126726558469854,0.05084745762711865
realized_volatility_20d,5,2,412,0.001074155177884071,0.001382807554749954,0.5412621359223301,0.010217602180927673,0.07281553398058252
realized_volatility_20d,5,3,413,0.0038864412269265305,0.004649970038178131,0.612590799031477,0.009367037345925757,0.09685230024213075
realized_volatility_20d,5,4,412,0.001470539137167103,0.004802825445811454,0.5776699029126213,0.012327203529833507,0.13106796116504854
realized_volatility_20d,5,5,413,0.006719935017583224,0.008179742806496026,0.6246973365617433,0.013859066898265398,0.162227602905569
realized_volatility_20d,10,1,412,0.007284834334322615,0.00949072207488344,0.6286407766990292,0.01155340181328321,0.10679611650485436
realized_volatility_20d,10,2,411,0.00503535078954903,0.00750790922516642,0.6277372262773723,0.016179992419348286,0.1873479318734793
realized_volatility_20d,10,3,412,0.004034444386018455,0.006033157861390026,0.6043689320388349,0.01721147746522959,0.2087378640776699
realized_volatility_20d,10,4,411,0.0008839635157280633,0.003338878748010421,0.5669099756690997,0.019098740735035015,0.2116788321167883
realized_volatility_20d,10,5,412,0.015529980982733572,0.019508208246295178,0.6553398058252428,0.020600123095165727,0.28398058252427183
realized_volatility_20d,20,1,410,0.012025536274442146,0.02234013052421613,0.6682926829268293,0.020860238089945353,0.275609756097561
